app_id,title,description,content,developer,publisher,dev_followers,pub_followers,genre,release_date,price_usd,discount_price,software,player,languages,month_reviews,positive_ratio_month,total_reviews,positive_ratio_all,tags_list,header_url,image_url_list,image_small_url_list,video_urls_hd_list,video_urls_480p_list
3278010,Venge Act 1 Soundtrack,,,Ekrcoaster,,,,['Ekrcoaster'],Coming soon,,,,,[],,,,,,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278010/header.jpg?t=1729035835,"['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278010/ss_c4a00654bf484d2bebda82aaeb031ed665d249c9.1920x1080.jpg?t=1729035835', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278010/ss_1670bfd670ff81897204c76e08ed04085a61218e.1920x1080.jpg?t=1729035835']","['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278010/ss_c4a00654bf484d2bebda82aaeb031ed665d249c9.116x65.jpg?t=1729035835', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278010/ss_1670bfd670ff81897204c76e08ed04085a61218e.116x65.jpg?t=1729035835']",,
3278020,Zombie Blitzkrieg,Survive against zombies in this turn-based tactical roguelike. Outsmart your enemies in fast-paced battles using different tactics. Pick rewards and power up your character to conquer increasingly challenging levels.,,Tiunovsky,Tiunovsky,1,1,"['Strategy', 'Tiunovsky', 'Tiunovsky']",29 Oct 2024,,,"['Windows', '', 'macOS']",Single-player,['English'],,,,,"['Turn-Based Tactics', 'Roguelike', 'Procedural Generation', 'Grid-Based Movement', 'Turn-Based Combat', 'Turn-Based Strategy', 'Strategy', 'Replay Value', 'Zombies', '2D', 'Minimalist', 'Top-Down', 'Roguelite', 'Singleplayer', 'Tactical', 'Turn-Based', 'Difficult', 'Perma Death', 'Combat', 'Cartoon']",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3128010/header.jpg?t=1729789475,"['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3128010/ss_fbf8988924a4d214d640cd14663a1fdbd2dbaa7d.1920x1080.jpg?t=1729789475', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3128010/ss_7561d9c723a781e858ec1b76b2c2fd28bb9bd403.1920x1080.jpg?t=1729789475', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3128010/ss_4fea7faf1f57883f3576c955294d00430ced87f0.1920x1080.jpg?t=1729789475', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3128010/ss_13d13e5d3d6aa509e6ef40c33f4685b975960b47.1920x1080.jpg?t=1729789475', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3128010/ss_43b80e6b2a84d7dfb1c50044b017340adfacfb06.1920x1080.jpg?t=1729789475', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3128010/ss_05dd2f1614c8eedec8cec9981bf3109031cc1d9a.1920x1080.jpg?t=1729789475']","['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3128010/ss_fbf8988924a4d214d640cd14663a1fdbd2dbaa7d.116x65.jpg?t=1729789475', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3128010/ss_7561d9c723a781e858ec1b76b2c2fd28bb9bd403.116x65.jpg?t=1729789475', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3128010/ss_4fea7faf1f57883f3576c955294d00430ced87f0.116x65.jpg?t=1729789475', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3128010/ss_13d13e5d3d6aa509e6ef40c33f4685b975960b47.116x65.jpg?t=1729789475', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3128010/ss_43b80e6b2a84d7dfb1c50044b017340adfacfb06.116x65.jpg?t=1729789475', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3128010/ss_05dd2f1614c8eedec8cec9981bf3109031cc1d9a.116x65.jpg?t=1729789475']",['https://video.fastly.steamstatic.com/store_trailers/257067465/movie_max.mp4?t=1729618233'],['https://video.fastly.steamstatic.com/store_trailers/257067465/movie480.mp4?t=1729618233']
3278030,Prophecrawl Demo,"In this dystopian nightmare, soldiers track the Anomaly—a shape-shifting enigma that clones itself, warps reality, and mimics human speech. Communicate with your squad, queue up for online missions, but remember: it’s not just a hunt; it’s a frantic race against time.","Online interactivity, In-game chat",Michael Richard Lannon,Michael Richard Lannon,,,"['Action', 'Casual', 'Strategy', 'Michael Richard Lannon', 'Michael Richard Lannon']",11 Oct 2024,,,,Game demo,"['English', 'Japanese', 'Portuguese - Brazil', 'Simplified Chinese', 'Spanish - Latin America']",,,,,"['FPS', 'Strategy', 'Third-Person Shooter', 'Hidden Object', 'Shooter', '3D', 'Cyberpunk', 'First-Person', 'Action', 'Horror', 'Third Person', 'Casual', 'Dystopian', 'Logic', 'Military', 'Stylized', 'Atmospheric', 'Physics', ""1990's"", 'Futuristic']",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278030/header.jpg?t=1728681551,"['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278030/ss_2a14aa6d65d15e295d62b18b5efed9c819643667.1920x1080.jpg?t=1728681551', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278030/ss_fde170515b153cb7e8e51455eefa421b91bb2c6f.1920x1080.jpg?t=1728681551', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278030/ss_20cc53820eeba92ff3b67f988438a49b3099a493.1920x1080.jpg?t=1728681551', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278030/ss_eb3ffa68d750ec8f4195c1aa74caad184e3fb020.1920x1080.jpg?t=1728681551', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278030/ss_34ee75991bb06a5d56a7cc1ebb201f0bd238804e.1920x1080.jpg?t=1728681551']","['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278030/ss_2a14aa6d65d15e295d62b18b5efed9c819643667.116x65.jpg?t=1728681551', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278030/ss_fde170515b153cb7e8e51455eefa421b91bb2c6f.116x65.jpg?t=1728681551', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278030/ss_20cc53820eeba92ff3b67f988438a49b3099a493.116x65.jpg?t=1728681551', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278030/ss_eb3ffa68d750ec8f4195c1aa74caad184e3fb020.116x65.jpg?t=1728681551', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278030/ss_34ee75991bb06a5d56a7cc1ebb201f0bd238804e.116x65.jpg?t=1728681551']",['https://video.fastly.steamstatic.com/store_trailers/257062123/movie_max.mp4?t=1728681543'],['https://video.fastly.steamstatic.com/store_trailers/257062123/movie480.mp4?t=1728681543']
3278040,A Stranded Spark,"Follow the story of Guina, the lost puppet, exploring the Forgotten Island, meeting new characters, helping them and trying to find a way back home through a wholesome and cute story.",,Tomate y Cebolla,Tomate y Cebolla,,,"['Adventure', 'Indie', 'Tomate y Cebolla', 'Tomate y Cebolla']",Coming soon,,,,Single-player,"['English', 'Spanish - Spain']",,,,,"['Open World', 'Cute', 'Relaxing', 'Story Rich', 'Exploration', 'Walking Simulator', 'Female Protagonist', '3D', 'Third Person', 'Cozy', 'Funny', 'Conversation', 'Colorful', 'Family Friendly', 'Emotional', 'Adventure', 'Nature', 'Cartoon', 'Indie', 'Singleplayer']",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2945720/header.jpg?t=1729418614,"['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2945720/ss_706c11dd5700cf5e4a09840572de080686ca5ea1.1920x1080.jpg?t=1729418614', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2945720/ss_5b9afdbe2b09ef146bfb4c466ceed35e442ed5ee.1920x1080.jpg?t=1729418614', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2945720/ss_b69cdfb7e79a4fb7e6d453b402630bf85b7f2ded.1920x1080.jpg?t=1729418614', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2945720/ss_371f80bd1605d19f60040aea335ba527a5c3ef02.1920x1080.jpg?t=1729418614', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2945720/ss_6603e481509f493e61f87ab7f5f42887f22a3949.1920x1080.jpg?t=1729418614', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2945720/ss_512c87cfeaea4c659a96f1cb732b455613dc0f4a.1920x1080.jpg?t=1729418614', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2945720/ss_f940db5d7c4f5e034ad3e41da286bcfcc50c0c58.1920x1080.jpg?t=1729418614']","['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2945720/ss_706c11dd5700cf5e4a09840572de080686ca5ea1.116x65.jpg?t=1729418614', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2945720/ss_5b9afdbe2b09ef146bfb4c466ceed35e442ed5ee.116x65.jpg?t=1729418614', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2945720/ss_b69cdfb7e79a4fb7e6d453b402630bf85b7f2ded.116x65.jpg?t=1729418614', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2945720/ss_371f80bd1605d19f60040aea335ba527a5c3ef02.116x65.jpg?t=1729418614', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2945720/ss_6603e481509f493e61f87ab7f5f42887f22a3949.116x65.jpg?t=1729418614', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2945720/ss_512c87cfeaea4c659a96f1cb732b455613dc0f4a.116x65.jpg?t=1729418614', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2945720/ss_f940db5d7c4f5e034ad3e41da286bcfcc50c0c58.116x65.jpg?t=1729418614']",['https://video.fastly.steamstatic.com/store_trailers/257044982/movie_max.mp4?t=1723223536'],['https://video.fastly.steamstatic.com/store_trailers/257044982/movie480.mp4?t=1723223536']
3278050,Prophecrawl Soundtrack,,,Michael Richard Lannon,Michael Richard Lannon,,,"['Michael Richard Lannon', 'Michael Richard Lannon']",Coming soon,,,"['Windows', '', 'macOS']",,[],,,,,,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278050/header.jpg?t=1728681531,"['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278050/ss_2a14aa6d65d15e295d62b18b5efed9c819643667.1920x1080.jpg?t=1728681531', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278050/ss_fde170515b153cb7e8e51455eefa421b91bb2c6f.1920x1080.jpg?t=1728681531', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278050/ss_20cc53820eeba92ff3b67f988438a49b3099a493.1920x1080.jpg?t=1728681531', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278050/ss_eb3ffa68d750ec8f4195c1aa74caad184e3fb020.1920x1080.jpg?t=1728681531', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278050/ss_34ee75991bb06a5d56a7cc1ebb201f0bd238804e.1920x1080.jpg?t=1728681531']","['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278050/ss_2a14aa6d65d15e295d62b18b5efed9c819643667.116x65.jpg?t=1728681531', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278050/ss_fde170515b153cb7e8e51455eefa421b91bb2c6f.116x65.jpg?t=1728681531', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278050/ss_20cc53820eeba92ff3b67f988438a49b3099a493.116x65.jpg?t=1728681531', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278050/ss_eb3ffa68d750ec8f4195c1aa74caad184e3fb020.116x65.jpg?t=1728681531', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278050/ss_34ee75991bb06a5d56a7cc1ebb201f0bd238804e.116x65.jpg?t=1728681531']",['https://video.fastly.steamstatic.com/store_trailers/257062126/movie_max.mp4?t=1728681524'],['https://video.fastly.steamstatic.com/store_trailers/257062126/movie480.mp4?t=1728681524']
3278070,Zaraq Demo,"Zaraq is a roguelike deckbuilder where you have access to a forbidden and strangely addicting arcade from the 80's. As you move, craft the best deck of symbols, artifact and spells to score the maximum amount of points. Can you score the points and to pay the ticket price to next stage?",,"Pixel Crate Games, Inc","Pixel Crate Games, Inc",,,"['Indie', 'Strategy', 'Pixel Crate Games, Inc', 'Pixel Crate Games, Inc']",10 Oct 2024,,,,Single-player,['English'],,,,,"['Turn-Based Tactics', 'Strategy', 'Roguelite', 'Card Game', 'Roguelike', '2D', 'Horror', 'Choices Matter', 'Deckbuilding', 'Procedural Generation', 'Pixel Graphics', 'Dark Fantasy', 'Fantasy', 'Vampire', 'Zombies', '1980s', 'Gambling', 'Singleplayer', 'Indie']",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278070/header.jpg?t=1728586435,"['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278070/ss_bfbc600a7e868cef01b9610013b47291cfa7fab8.1920x1080.jpg?t=1728586435', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278070/ss_68cf9a4d2505400be9eb19e5fd3b674765265b04.1920x1080.jpg?t=1728586435', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278070/ss_e42f411689d2bc2a042ab0567315bea750cfc9cf.1920x1080.jpg?t=1728586435', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278070/ss_f8a78ef7c50bf4afb6d8f42923909359ee187e6a.1920x1080.jpg?t=1728586435', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278070/ss_8b2d82a48a31446e591330b268178276f1b0a26a.1920x1080.jpg?t=1728586435', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278070/ss_214a9af1ccc2f481bed2b6f8b90e38da60565a26.1920x1080.jpg?t=1728586435']","['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278070/ss_bfbc600a7e868cef01b9610013b47291cfa7fab8.116x65.jpg?t=1728586435', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278070/ss_68cf9a4d2505400be9eb19e5fd3b674765265b04.116x65.jpg?t=1728586435', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278070/ss_e42f411689d2bc2a042ab0567315bea750cfc9cf.116x65.jpg?t=1728586435', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278070/ss_f8a78ef7c50bf4afb6d8f42923909359ee187e6a.116x65.jpg?t=1728586435', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278070/ss_8b2d82a48a31446e591330b268178276f1b0a26a.116x65.jpg?t=1728586435', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278070/ss_214a9af1ccc2f481bed2b6f8b90e38da60565a26.116x65.jpg?t=1728586435']",['https://video.fastly.steamstatic.com/store_trailers/257062156/movie_max.mp4?t=1728585353'],['https://video.fastly.steamstatic.com/store_trailers/257062156/movie480.mp4?t=1728585353']
3278080,,,,,,,,,,,"['2.54', '0.84', '5.73', '4.99', '2.79', '5.59', '39.99', '19.99', '6.29', '2.39', '4.24', '49.99', '69.99', '69.99', '39.99', '11.24', '9.44', '8.19', '5.99', '26.99', '12.00', '6.79', '9.69', '15.99', '8.49', '2.99', '6.49', '69.99', '109.99', '34.99', '69.99', '6.49', '16.99', '6.99', '17.99', '69.99', 'Free To Play', '12.00', '17.99', '12.00', 'Free To Play', '3.99', '69.99', '3.99', 'Free To Play', 'Free To Play', '69.99', '10.39', 'Free To Play', '59.99', '26.24', '3.99', '44.99', 'Free To Play', '59.99', '36.74', '2.71', '6.49', '19.99', '39.99', '59.99', '29.99', '49.99', 'Free', 'Free To Play', '49.99', '44.99', 'Free To Play', 'Free To Play', '17.99', '3.99', '5.73', '3.39', '4.99', '7.49', '7.99', '6.99', '36.74', '7.49', '2.71', '5.99', '0.84', '35.99', '2.00', '5.99', '11.24', '15.99', '3.99', '8.99', '8.99', '3.99', '2.45', '34.99', '9.99', '1.04', '2.80', '9.99', '3.99', '13.99', '2.80', '17.99', '5.99', '5.49', '9.89', '4.99', '5.99', '3.90', '13.99', '6.29', 'Free Demo', 'Free To Play', 'Free To Play', 'Free Demo', 'Free To Play', 'Free', 'Free To Play', 'Free Demo', 'Free Demo', 'Free Demo', 'Free Demo', 'Free Demo', 'Free Demo', 'Free Demo', 'Free Demo', 'Free Demo', 'Free Demo', 'Free Demo', 'Free Demo', 'Free Demo', 'Free Demo', 'Free Demo', 'Free', 'Free Demo', 'Free To Play', 'Free Demo', 'Free Demo', 'Free To Play', 'Free Demo', 'Free Demo']",,,[],,,,,,,,,,
3278140,Scorching Desert,"""Scorching Desert"" is an open-world survival crafting game, where your main objective is to survive in a hot, unforgiving desert plagued by an ancient evil! You will need to gather resources, build a resillient shelter, stay hydrated & explore a massive 64km^2 Map!",,Desert Runner Studio,Desert Runner Studio,,,"['Indie', 'Desert Runner Studio', 'Desert Runner Studio']",Coming soon,,,,Single-player,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese']",,,,,"['Open World Survival Craft', 'Realistic', 'Post-apocalyptic', 'Exploration', 'Atmospheric', 'Survival', 'Base Building', 'Singleplayer', 'Action RPG', 'Action-Adventure', '3D', 'Crafting', 'First-Person', 'Fantasy', 'Supernatural', 'Open World', 'Cinematic', 'Adventure', 'Survival Horror', 'Loot']",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/header.jpg?t=1728931396,"['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/ss_dbd63185b69e44b4ee372051dbd6a10b27e22cfc.1920x1080.jpg?t=1728931396', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/ss_ef134ff9a7fb4e26997662f5635e70352c41d9d6.1920x1080.jpg?t=1728931396', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/ss_75428dc0de0d4820d992c963f6371bac0017971c.1920x1080.jpg?t=1728931396', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/ss_9c7a7002bb65567fc02f73ff8730f87a7f48064a.1920x1080.jpg?t=1728931396', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/ss_8f15011773b0ed3ce5f1eb18a201e72d48d99638.1920x1080.jpg?t=1728931396', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/ss_2191cc53144eef732dfbbc958e5bfe1e58cfa2f8.1920x1080.jpg?t=1728931396', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/ss_d82a5081dc742d658a71635a47f1708db57febc7.1920x1080.jpg?t=1728931396', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/ss_d7ad9d8b918f4231debbbf35ae639030cccd7823.1920x1080.jpg?t=1728931396']","['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/ss_dbd63185b69e44b4ee372051dbd6a10b27e22cfc.116x65.jpg?t=1728931396', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/ss_ef134ff9a7fb4e26997662f5635e70352c41d9d6.116x65.jpg?t=1728931396', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/ss_75428dc0de0d4820d992c963f6371bac0017971c.116x65.jpg?t=1728931396', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/ss_9c7a7002bb65567fc02f73ff8730f87a7f48064a.116x65.jpg?t=1728931396', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/ss_8f15011773b0ed3ce5f1eb18a201e72d48d99638.116x65.jpg?t=1728931396', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/ss_2191cc53144eef732dfbbc958e5bfe1e58cfa2f8.116x65.jpg?t=1728931396', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/ss_d82a5081dc742d658a71635a47f1708db57febc7.116x65.jpg?t=1728931396', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625000/ss_d7ad9d8b918f4231debbbf35ae639030cccd7823.116x65.jpg?t=1728931396']",['https://video.fastly.steamstatic.com/store_trailers/257016760/movie_max.mp4?t=1713383537'],['https://video.fastly.steamstatic.com/store_trailers/257016760/movie480.mp4?t=1713383537']
3278160,Fatal Delivery,A short horror game about a delivery driver in a semi-apocalyptic world tasked with the delivery of a strange package to a nearby city.,,IslandWare,IslandWare,,,"['Action', 'Adventure', 'Indie', 'Free To Play', 'IslandWare', 'IslandWare']",31 Oct 2024,,,,Single-player,['English'],,,,,"['Adventure', 'Action', 'Horror', 'Singleplayer', 'Multiple Endings', '3D', 'Shooter', 'Free to Play', 'Indie']",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278160/header.jpg?t=1729258954,"['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278160/ss_1c3c9cf7d06645ab848dac20f3550993735eddce.1920x1080.jpg?t=1729258954', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278160/ss_809ebd22c1db72191096c6a6c2443693990b7e88.1920x1080.jpg?t=1729258954', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278160/ss_08786a8c3e5891e19103480f676c62dcc72cefa7.1920x1080.jpg?t=1729258954', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278160/ss_f566b9e8bf0fd3cef7f567990ad6c2d99745f8df.1920x1080.jpg?t=1729258954', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278160/ss_6dccd8f3162bbecbdacff0354cc027651bec70a9.1920x1080.jpg?t=1729258954', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278160/ss_f5aad64e2c70b09765bb72603ff1dc6615e6c1f3.1920x1080.jpg?t=1729258954']","['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278160/ss_1c3c9cf7d06645ab848dac20f3550993735eddce.116x65.jpg?t=1729258954', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278160/ss_809ebd22c1db72191096c6a6c2443693990b7e88.116x65.jpg?t=1729258954', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278160/ss_08786a8c3e5891e19103480f676c62dcc72cefa7.116x65.jpg?t=1729258954', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278160/ss_f566b9e8bf0fd3cef7f567990ad6c2d99745f8df.116x65.jpg?t=1729258954', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278160/ss_6dccd8f3162bbecbdacff0354cc027651bec70a9.116x65.jpg?t=1729258954', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278160/ss_f5aad64e2c70b09765bb72603ff1dc6615e6c1f3.116x65.jpg?t=1729258954']",['https://video.fastly.steamstatic.com/store_trailers/257062137/movie_max.mp4?t=1729258946'],['https://video.fastly.steamstatic.com/store_trailers/257062137/movie480.mp4?t=1729258946']
3278170,Pirate Survivors,"Pirate Survivors is a fast-paced Roguelite where you battle endless waves of sea monsters, unlock powerful upgrades, and take on deadly Sea Legends. Choose your ship, conquer countless enemies, and face escalating challenges in this high-stakes Bullet Heaven adventure!",,NightShiftGames,NightShiftGames,,,"['Action', 'Indie', 'NightShiftGames', 'NightShiftGames']",2025,,,,Single-player,['English'],,,,,"['Action Roguelike', 'Sailing', 'PvE', 'Roguelike', '2D', 'Top-Down', 'Action', 'Choices Matter', 'Naval Combat', 'Colorful', 'Stylized', 'Fantasy', 'Loot', 'Naval', 'Pirates', 'Survival', 'Combat', 'Singleplayer', 'Indie']",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278170/header.jpg?t=1729372041,"['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278170/ss_8bb5eeda957014c2dd93b8e69a63e7379b95c603.1920x1080.jpg?t=1729372041', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278170/ss_a21550090cc895f7d2861c13312a98a899b17c10.1920x1080.jpg?t=1729372041', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278170/ss_d155ab8aad19c2ad492d47dfc1d8aff08930af08.1920x1080.jpg?t=1729372041', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278170/ss_38b292ec840f76c056aabc28c20821444d9ad86f.1920x1080.jpg?t=1729372041', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278170/ss_8fb76b0f879b764d5b718c86c8d7dac2f6ecb446.1920x1080.jpg?t=1729372041']","['https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278170/ss_8bb5eeda957014c2dd93b8e69a63e7379b95c603.116x65.jpg?t=1729372041', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278170/ss_a21550090cc895f7d2861c13312a98a899b17c10.116x65.jpg?t=1729372041', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278170/ss_d155ab8aad19c2ad492d47dfc1d8aff08930af08.116x65.jpg?t=1729372041', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278170/ss_38b292ec840f76c056aabc28c20821444d9ad86f.116x65.jpg?t=1729372041', 'https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3278170/ss_8fb76b0f879b764d5b718c86c8d7dac2f6ecb446.116x65.jpg?t=1729372041']",,
