appid,rank,url
2300320,67,https://store.steampowered.com/app/2300320/Farming_Simulator_25?snr=1_7001_topselling__7003
2357570,68,https://store.steampowered.com/app/2357570/Overwatch_2?snr=1_7001_topselling__7003
221100,69,https://store.steampowered.com/app/221100/DayZ?snr=1_7001_topselling__7003
2074920,70,https://store.steampowered.com/app/2074920/The_First_Descendant?snr=1_7001_topselling__7003
239140,71,https://store.steampowered.com/app/239140/Dying_Light?snr=1_7001_topselling__7003
594650,72,https://store.steampowered.com/app/594650/Hunt_Showdown_1896?snr=1_7001_topselling__7003
431960,73,https://store.steampowered.com/app/431960/Wallpaper_Engine?snr=1_7001_topselling__7003
,74,https://store.steampowered.com/sub/320795/?snr=1_7001_topselling__7003
1030840,75,https://store.steampowered.com/app/1030840/Mafia_Definitive_Edition?snr=1_7001_topselling__7003
1974050,76,https://store.steampowered.com/app/1974050/Torchlight_Infinite?snr=1_7001_topselling__7003
1085660,77,https://store.steampowered.com/app/1085660/Destiny_2?snr=1_7001_topselling__7003
289070,78,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI?snr=1_7001_topselling__7003
2668510,79,https://store.steampowered.com/app/2668510/Red_Dead_Redemption?snr=1_7001_topselling__7003
960170,80,https://store.steampowered.com/app/960170/DJMAX_RESPECT_V?snr=1_7001_topselling__7003
1222670,81,https://store.steampowered.com/app/1222670/The_Sims_4?snr=1_7001_topselling__7003
,82,https://store.steampowered.com/bundle/36969/?snr=1_7001_topselling__7003
526870,83,https://store.steampowered.com/app/526870/Satisfactory?snr=1_7001_topselling__7003
632360,84,https://store.steampowered.com/app/632360/Risk_of_Rain_2?snr=1_7001_topselling__7003
1091500,85,https://store.steampowered.com/app/1091500/Cyberpunk_2077?snr=1_7001_topselling__7003
1449850,86,https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel?snr=1_7001_topselling__7003
208650,87,https://store.steampowered.com/app/208650/Batman_Arkham_Knight?snr=1_7001_topselling__7003
1971870,88,https://store.steampowered.com/app/1971870/Mortal_Kombat_1?snr=1_7001_topselling__7003
920210,89,https://store.steampowered.com/app/920210/LEGO_Star_Wars_The_Skywalker_Saga?snr=1_7001_topselling__7003
2968040,90,https://store.steampowered.com/app/2968040/DayZ_Frostline?snr=1_7001_topselling__7003
534380,91,https://store.steampowered.com/app/534380/Dying_Light_2_Stay_Human_Reloaded_Edition?snr=1_7001_topselling__7003
1171690,92,https://store.steampowered.com/app/1171690/Wayfinder?snr=1_7001_topselling__7003
1384160,93,https://store.steampowered.com/app/1384160/GUILTY_GEAR_STRIVE?snr=1_7001_topselling__7003
413150,94,https://store.steampowered.com/app/413150/Stardew_Valley?snr=1_7001_topselling__7003
1158310,95,https://store.steampowered.com/app/1158310/Crusader_Kings_III?snr=1_7001_topselling__7003
739630,96,https://store.steampowered.com/app/739630/Phasmophobia?snr=1_7001_topselling__7003
39210,97,https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online?snr=1_7001_topselling__7003
306130,98,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online?snr=1_7001_topselling__7003
,99,https://store.steampowered.com/sub/518699/?snr=1_7001_topselling__7003
1966720,100,https://store.steampowered.com/app/1966720/Lethal_Company?snr=1_7001_topselling__7003
